source,target,lr_pair,sum_count,interaction_key
endothelial cell,T cell,THY1_ADGRE5,561,endothelial cell_T cell_THY1_ADGRE5
endothelial cell,muscle cell,CD99_CD99,560,endothelial cell_muscle cell_CD99_CD99
muscle cell,pericyte,COL4A1_CD44,558,muscle cell_pericyte_COL4A1_CD44
endothelial cell,endothelial cell,THY1_ADGRE5,558,endothelial cell_endothelial cell_THY1_ADGRE5
endothelial cell,Tumor,COL4A1_SDC4,557,endothelial cell_Tumor_COL4A1_SDC4
endothelial cell,Tumor,COL4A2_SDC4,557,endothelial cell_Tumor_COL4A2_SDC4
pericyte,macrophage,GAS6_AXL,557,pericyte_macrophage_GAS6_AXL
macrophage,macrophage,GAS6_MERTK,556,macrophage_macrophage_GAS6_MERTK
endothelial cell,pericyte,MPZL1_MPZL1,555,endothelial cell_pericyte_MPZL1_MPZL1
endothelial cell,Tumor,JAM3_F11R,553,endothelial cell_Tumor_JAM3_F11R
pericyte,pericyte,SEMA4C_PLXNB2,552,pericyte_pericyte_SEMA4C_PLXNB2
pericyte,pericyte,CD99_CD99,551,pericyte_pericyte_CD99_CD99
pericyte,endothelial cell,THBS1_CD36,551,pericyte_endothelial cell_THBS1_CD36
pericyte,macrophage,PROS1_MERTK,550,pericyte_macrophage_PROS1_MERTK
muscle cell,pericyte,COL4A2_CD44,550,muscle cell_pericyte_COL4A2_CD44
fat cell,macrophage,COL4A1_CD44,547,fat cell_macrophage_COL4A1_CD44
pericyte,Tumor,SEMA4C_PLXNB2,547,pericyte_Tumor_SEMA4C_PLXNB2
Tumor,endothelial cell,CD99_CD99,544,Tumor_endothelial cell_CD99_CD99
pericyte,macrophage,CXCL12_CXCR4,540,pericyte_macrophage_CXCL12_CXCR4
endothelial cell,dendritic cell,JAG1_NOTCH2,538,endothelial cell_dendritic cell_JAG1_NOTCH2
pericyte,macrophage,THY1_ADGRE2,537,pericyte_macrophage_THY1_ADGRE2
Tumor,Tumor,CD55_ADGRE5,534,Tumor_Tumor_CD55_ADGRE5
Tumor,pericyte,GAS6_AXL,529,Tumor_pericyte_GAS6_AXL
pericyte,muscle cell,LAMC1_CD44,528,pericyte_muscle cell_LAMC1_CD44
pericyte,neutrophil,COL4A1_CD44,527,pericyte_neutrophil_COL4A1_CD44
pericyte,neutrophil,COL4A2_CD44,527,pericyte_neutrophil_COL4A2_CD44
endothelial cell,Tumor,THBS1_SDC4,526,endothelial cell_Tumor_THBS1_SDC4
pericyte,muscle cell,SDC2_ADGRA2,524,pericyte_muscle cell_SDC2_ADGRA2
pericyte,fat cell,JAG1_NOTCH2,524,pericyte_fat cell_JAG1_NOTCH2
Tumor,pericyte,LAMC1_CD44,522,Tumor_pericyte_LAMC1_CD44
endothelial cell,fat cell,PDGFA_PDGFRB,522,endothelial cell_fat cell_PDGFA_PDGFRB
endothelial cell,Tumor,PDGFB_PDGFRA,519,endothelial cell_Tumor_PDGFB_PDGFRA
endothelial cell,muscle cell,DLL4_NOTCH1,517,endothelial cell_muscle cell_DLL4_NOTCH1
endothelial cell,T cell,LAMC1_CD44,517,endothelial cell_T cell_LAMC1_CD44
endothelial cell,dendritic cell,PECAM1_PECAM1,516,endothelial cell_dendritic cell_PECAM1_PECAM1
endothelial cell,fibroblast,JAG1_NOTCH2,515,endothelial cell_fibroblast_JAG1_NOTCH2
endothelial cell,Tumor,JAM2_F11R,515,endothelial cell_Tumor_JAM2_F11R
fat cell,macrophage,COL4A2_CD44,514,fat cell_macrophage_COL4A2_CD44
muscle cell,pericyte,JAG1_NOTCH3,513,muscle cell_pericyte_JAG1_NOTCH3
endothelial cell,dendritic cell,LAMC1_CD44,512,endothelial cell_dendritic cell_LAMC1_CD44
endothelial cell,fibroblast,COL4A1_CD44,511,endothelial cell_fibroblast_COL4A1_CD44
muscle cell,macrophage,LAMC1_CD44,510,muscle cell_macrophage_LAMC1_CD44
endothelial cell,muscle cell,PDGFB_PDGFRA,508,endothelial cell_muscle cell_PDGFB_PDGFRA
endothelial cell,neutrophil,THBS1_CD47,505,endothelial cell_neutrophil_THBS1_CD47
endothelial cell,Tumor,PROS1_AXL,505,endothelial cell_Tumor_PROS1_AXL
muscle cell,endothelial cell,SDC2_ADGRA2,504,muscle cell_endothelial cell_SDC2_ADGRA2
endothelial cell,fibroblast,COL4A2_CD44,503,endothelial cell_fibroblast_COL4A2_CD44
pericyte,fat cell,LAMC1_CD44,503,pericyte_fat cell_LAMC1_CD44
muscle cell,Tumor,THY1_ADGRE5,502,muscle cell_Tumor_THY1_ADGRE5
endothelial cell,endothelial cell,CXCL12_CXCR4,501,endothelial cell_endothelial cell_CXCL12_CXCR4
endothelial cell,fibroblast,PDGFB_PDGFRB,501,endothelial cell_fibroblast_PDGFB_PDGFRB
endothelial cell,mast cell,COL4A2_CD44,500,endothelial cell_mast cell_COL4A2_CD44
Tumor,Tumor,GJA1_GJA1,500,Tumor_Tumor_GJA1_GJA1
muscle cell,macrophage,THBS1_CD47,500,muscle cell_macrophage_THBS1_CD47
fat cell,macrophage,THBS1_CD47,500,fat cell_macrophage_THBS1_CD47
pericyte,Tumor,COL4A1_CD44,498,pericyte_Tumor_COL4A1_CD44
endothelial cell,mast cell,COL4A1_CD44,498,endothelial cell_mast cell_COL4A1_CD44
pericyte,Tumor,COL4A2_CD44,498,pericyte_Tumor_COL4A2_CD44
endothelial cell,T cell,CXCL12_CXCR4,497,endothelial cell_T cell_CXCL12_CXCR4
Tumor,macrophage,PROS1_MERTK,497,Tumor_macrophage_PROS1_MERTK
muscle cell,endothelial cell,JAG1_NOTCH1,496,muscle cell_endothelial cell_JAG1_NOTCH1
pericyte,pericyte,THBS1_CD36,496,pericyte_pericyte_THBS1_CD36
pericyte,endothelial cell,THBS1_CD47,496,pericyte_endothelial cell_THBS1_CD47
muscle cell,endothelial cell,JAG1_NOTCH4,496,muscle cell_endothelial cell_JAG1_NOTCH4
endothelial cell,muscle cell,LGALS9_P4HB,495,endothelial cell_muscle cell_LGALS9_P4HB
endothelial cell,fat cell,CD99_CD99,495,endothelial cell_fat cell_CD99_CD99
endothelial cell,muscle cell,PROS1_AXL,495,endothelial cell_muscle cell_PROS1_AXL
pericyte,fat cell,PDGFA_PDGFRB,495,pericyte_fat cell_PDGFA_PDGFRB
macrophage,macrophage,SEMA4D_PLXNB2,494,macrophage_macrophage_SEMA4D_PLXNB2
pericyte,endothelial cell,THBS2_CD36,494,pericyte_endothelial cell_THBS2_CD36
endothelial cell,fat cell,LGALS9_P4HB,492,endothelial cell_fat cell_LGALS9_P4HB
muscle cell,macrophage,THBS2_CD47,491,muscle cell_macrophage_THBS2_CD47
macrophage,macrophage,GAS6_AXL,491,macrophage_macrophage_GAS6_AXL
Tumor,macrophage,PROS1_AXL,491,Tumor_macrophage_PROS1_AXL
pericyte,macrophage,JAM3_F11R,490,pericyte_macrophage_JAM3_F11R
macrophage,macrophage,LAIR1_LILRB4,489,macrophage_macrophage_LAIR1_LILRB4
muscle cell,macrophage,GAS6_MERTK,489,muscle cell_macrophage_GAS6_MERTK
muscle cell,pericyte,JAG1_NOTCH1,487,muscle cell_pericyte_JAG1_NOTCH1
endothelial cell,fat cell,PDGFB_PDGFRA,487,endothelial cell_fat cell_PDGFB_PDGFRA
