partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
725	1504	COL16A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC027EF0F68
1042	1504	COL17A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC00942962B
1348	1504	COL18A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC039737584
775	1504	COL19A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0423059DF
197	1504	COL1A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC028882919
264	1504	COL1A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC07707E049
1012	1504	COL20A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0F393B830
911	1504	COL21A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC076898564
869	1504	COL22A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0AA500B63
799	1504	COL24A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC09E4E673B
903	1504	COL26A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC008D5E4B2
852	1504	COL27A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC090152EEE
804	1504	COL28A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E9AA9087
198	1504	COL2A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0AA90A03B
199	1504	COL3A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0A7864078
200	1504	COL4A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0756B421F
272	1504	COL4A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0096917A2
703	1504	COL4A3	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0CC8A2F79
648	1504	COL4A4	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC030087D4F
1344	1504	COL4A5	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0F1833AC0
758	1504	COL4A6	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0BFDE14E9
413	1504	COL5A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC05590EDD3
245	1504	COL5A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0CED85DDE
1340	1504	COL5A3	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0DA063880
323	1504	COL6A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0251EEF61
324	1504	COL6A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC07F654CB3
325	1504	COL6A3	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC059D160BE
34	1504	COL6A5	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E4A99136
33	1504	COL6A6	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E03C13D1
708	1504	COL7A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B4771D76
1343	1504	COL8A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC068FFC547
450	1504	COL8A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FCB8DFBB
412	1504	COL9A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC050CC3A3F
760	1504	COL9A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0A210DC1F
