interaction_key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,sum_across_punches
endothelial cell_endothelial cell_CXCL12_ACKR3,8,51,0,53,32,27,41,19,0,27,0,28,20,27,0,0,17,0,0,25,0,0,0,0,0,0,0,31,45,56,38,50,0,0,16,0,0,12,0,28,0,34,31,0,0,0,35,0,0,0,0,45,44,46,40,0,0,0,26,28,0,27,24,28,41,1100
endothelial cell_macrophage_PECAM1_PECAM1,9,30,0,32,0,15,23,0,21,21,20,22,18,18,10,12,0,0,7,18,14,10,17,11,16,15,0,24,25,41,27,28,30,14,23,3,0,0,0,10,22,32,27,21,20,13,29,16,29,13,14,30,30,31,28,0,13,0,0,26,16,19,15,20,34,1082
endothelial cell_endothelial cell_CD99_CD99,8,51,0,53,0,0,41,0,0,27,16,0,20,0,10,0,0,0,0,0,0,0,22,14,14,15,14,31,45,56,38,50,0,17,0,5,0,0,0,28,0,34,31,0,0,0,0,0,0,23,30,45,44,46,40,3,16,0,26,28,20,27,24,28,41,1081
endothelial cell_endothelial cell_SEMA4C_PLXNB2,0,0,0,0,32,0,41,19,18,27,16,28,20,0,0,0,0,0,0,25,20,0,22,0,14,0,0,31,45,56,38,50,35,17,0,0,0,0,0,0,37,34,31,21,0,11,35,0,0,0,30,45,44,46,40,0,0,0,26,28,0,27,24,0,41,1074
endothelial cell_endothelial cell_JAM2_F11R,0,51,27,53,32,27,41,19,0,27,16,28,0,27,10,0,0,0,0,25,20,13,0,0,0,15,0,31,45,0,38,50,35,0,16,0,0,0,0,0,0,34,31,21,19,0,35,0,42,23,30,0,44,0,40,0,0,0,26,28,0,0,0,0,41,1060
endothelial cell_pericyte_DLL4_NOTCH2,0,37,0,42,24,0,37,22,15,30,0,0,16,15,0,0,0,0,0,33,12,6,18,0,0,0,0,26,33,45,31,38,0,0,0,0,0,0,0,7,31,39,32,21,21,0,31,11,36,15,0,33,38,40,33,0,15,11,21,0,22,26,19,26,37,1045
endothelial cell_pericyte_DLL4_NOTCH1,0,37,0,42,24,0,37,22,15,30,0,16,16,0,0,0,0,0,0,33,12,6,18,0,12,8,0,26,33,45,31,38,0,0,0,0,0,0,0,0,31,39,32,21,21,0,31,11,36,0,0,33,38,40,33,0,15,11,21,0,22,26,19,26,37,1044
endothelial cell_Tumor_JAG1_NOTCH2,0,35,12,32,12,9,27,25,0,0,29,15,13,13,5,11,10,0,6,13,0,0,11,6,0,0,0,36,39,31,25,31,34,9,17,0,0,6,7,17,17,21,20,23,12,18,36,0,0,11,31,30,31,31,32,0,4,18,22,32,22,15,16,20,43,1041
Tumor_Tumor_LAMC1_DAG1,13,19,12,20,12,13,18,27,25,22,35,10,8,16,7,8,10,0,0,12,0,0,6,0,9,0,0,27,31,12,13,9,29,10,19,12,0,12,12,15,14,22,10,25,23,18,34,0,18,23,28,21,35,28,32,0,6,21,21,36,26,12,13,26,39,1034
endothelial cell_macrophage_LAMC1_CD44,9,30,0,32,15,15,23,7,21,21,20,22,18,18,0,0,11,0,7,18,14,10,17,11,0,15,0,24,25,41,27,28,30,14,23,0,3,6,6,10,22,32,27,21,20,13,29,16,29,0,14,30,30,31,28,5,13,0,0,26,0,19,0,0,34,1030
endothelial cell_Tumor_SEMA4C_PLXNB2,0,35,0,32,12,9,27,25,25,29,29,15,13,0,0,0,10,0,0,13,6,0,11,0,9,0,0,36,39,31,25,31,34,9,17,0,0,0,0,17,17,21,20,23,12,18,36,10,0,0,31,30,31,31,32,0,0,18,22,32,0,15,16,20,43,1017
