ligand_norm,receptor_norm,signaling_type_ccv2,signaling_type_lr,ligand_ccv2,receptor_ccv2,ligand_lr,receptor_lr
COL6A6,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A6,ITGB1_ITGA1,COL6A6,ITGA1_ITGB1
COL9A1,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A1,ITGB1_ITGA1,COL9A1,ITGA1_ITGB1
COL9A2,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A2,ITGB1_ITGA1,COL9A2,ITGA1_ITGB1
COL9A3,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A3,ITGB1_ITGA1,COL9A3,ITGA1_ITGB1
COL1A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A1,ITGA2_ITGB1,COL1A1,ITGA2_ITGB1
COL1A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A2,ITGA2_ITGB1,COL1A2,ITGA2_ITGB1
COL2A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL2A1,ITGA2_ITGB1,COL2A1,ITGA2_ITGB1
COL4A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A1,ITGA2_ITGB1,COL4A1,ITGA2_ITGB1
COL4A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A2,ITGA2_ITGB1,COL4A2,ITGA2_ITGB1
COL4A3,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A3,ITGA2_ITGB1,COL4A3,ITGA2_ITGB1
COL4A4,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A4,ITGA2_ITGB1,COL4A4,ITGA2_ITGB1
COL4A5,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A5,ITGA2_ITGB1,COL4A5,ITGA2_ITGB1
COL4A6,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A6,ITGA2_ITGB1,COL4A6,ITGA2_ITGB1
COL6A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A1,ITGA2_ITGB1,COL6A1,ITGA2_ITGB1
COL6A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A2,ITGA2_ITGB1,COL6A2,ITGA2_ITGB1
COL6A3,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A3,ITGA2_ITGB1,COL6A3,ITGA2_ITGB1
COL6A5,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A5,ITGA2_ITGB1,COL6A5,ITGA2_ITGB1
COL6A6,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A6,ITGA2_ITGB1,COL6A6,ITGA2_ITGB1
COL9A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A1,ITGA2_ITGB1,COL9A1,ITGA2_ITGB1
COL9A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A2,ITGA2_ITGB1,COL9A2,ITGA2_ITGB1
COL9A3,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A3,ITGA2_ITGB1,COL9A3,ITGA2_ITGB1
FN1,ITGA3_ITGB1,ECM-Receptor,Cell-Cell Contact,FN1,ITGA3_ITGB1,FN1,ITGA3_ITGB1
FN1,ITGA4_ITGB1,ECM-Receptor,Cell-Cell Contact,FN1,ITGA4_ITGB1,FN1,ITGA4_ITGB1
FN1,ITGA5_ITGB1,ECM-Receptor,Cell-Cell Contact,FN1,ITGA5_ITGB1,FN1,ITGA5_ITGB1
FN1,ITGA8_ITGB1,ECM-Receptor,Cell-Cell Contact,FN1,ITGA8_ITGB1,FN1,ITGA8_ITGB1
LAMC1,ITGA2_ITGB1,ECM-Receptor,Secreted Signaling,LAMC1,ITGA2_ITGB1,LAMC1,ITGA2_ITGB1
LAMA3,ITGA3_ITGB1,ECM-Receptor,Secreted Signaling,LAMA3,ITGA3_ITGB1,LAMA3,ITGA3_ITGB1
THBS1,ITGA3_ITGB1,ECM-Receptor,Secreted Signaling,THBS1,ITGA3_ITGB1,THBS1,ITGA3_ITGB1
LAMC1,ITGA6_ITGB1,ECM-Receptor,Secreted Signaling,LAMC1,ITGA6_ITGB1,LAMC1,ITGA6_ITGB1
LAMC1,ITGA7_ITGB1,ECM-Receptor,Secreted Signaling,LAMC1,ITGA7_ITGB1,LAMC1,ITGA7_ITGB1
TNC,ITGA8_ITGB1,ECM-Receptor,Secreted Signaling,TNC,ITGA8_ITGB1,TNC,ITGA8_ITGB1
TNC,ITGA9_ITGB1,ECM-Receptor,Secreted Signaling,TNC,ITGA9_ITGB1,TNC,ITGA9_ITGB1
COL1A1,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A1,ITGA10_ITGB1,COL1A1,ITGA10_ITGB1
COL1A2,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A2,ITGA10_ITGB1,COL1A2,ITGA10_ITGB1
COL2A1,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL2A1,ITGA10_ITGB1,COL2A1,ITGA10_ITGB1
COL4A1,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A1,ITGA10_ITGB1,COL4A1,ITGA10_ITGB1
COL4A2,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A2,ITGA10_ITGB1,COL4A2,ITGA10_ITGB1
COL4A3,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A3,ITGA10_ITGB1,COL4A3,ITGA10_ITGB1
COL4A4,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A4,ITGA10_ITGB1,COL4A4,ITGA10_ITGB1
COL4A5,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A5,ITGA10_ITGB1,COL4A5,ITGA10_ITGB1
COL4A6,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A6,ITGA10_ITGB1,COL4A6,ITGA10_ITGB1
COL6A1,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A1,ITGA10_ITGB1,COL6A1,ITGA10_ITGB1
COL6A2,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A2,ITGA10_ITGB1,COL6A2,ITGA10_ITGB1
COL6A3,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A3,ITGA10_ITGB1,COL6A3,ITGA10_ITGB1
COL6A5,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A5,ITGA10_ITGB1,COL6A5,ITGA10_ITGB1
COL6A6,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A6,ITGA10_ITGB1,COL6A6,ITGA10_ITGB1
COL9A1,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A1,ITGA10_ITGB1,COL9A1,ITGA10_ITGB1
COL9A2,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A2,ITGA10_ITGB1,COL9A2,ITGA10_ITGB1
COL9A3,ITGA10_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A3,ITGA10_ITGB1,COL9A3,ITGA10_ITGB1
COL1A1,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A1,ITGB1_ITGA11,COL1A1,ITGA11_ITGB1
COL1A2,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A2,ITGB1_ITGA11,COL1A2,ITGA11_ITGB1
COL2A1,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL2A1,ITGB1_ITGA11,COL2A1,ITGA11_ITGB1
COL4A1,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A1,ITGB1_ITGA11,COL4A1,ITGA11_ITGB1
COL4A2,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A2,ITGB1_ITGA11,COL4A2,ITGA11_ITGB1
COL4A3,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A3,ITGB1_ITGA11,COL4A3,ITGA11_ITGB1
COL4A4,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A4,ITGB1_ITGA11,COL4A4,ITGA11_ITGB1
COL4A5,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A5,ITGB1_ITGA11,COL4A5,ITGA11_ITGB1
COL4A6,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A6,ITGB1_ITGA11,COL4A6,ITGA11_ITGB1
COL6A1,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A1,ITGB1_ITGA11,COL6A1,ITGA11_ITGB1
COL6A2,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A2,ITGB1_ITGA11,COL6A2,ITGA11_ITGB1
COL6A3,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A3,ITGB1_ITGA11,COL6A3,ITGA11_ITGB1
COL6A5,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A5,ITGB1_ITGA11,COL6A5,ITGA11_ITGB1
COL6A6,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A6,ITGB1_ITGA11,COL6A6,ITGA11_ITGB1
COL9A1,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A1,ITGB1_ITGA11,COL9A1,ITGA11_ITGB1
COL9A2,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A2,ITGB1_ITGA11,COL9A2,ITGA11_ITGB1
COL9A3,ITGA11_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A3,ITGB1_ITGA11,COL9A3,ITGA11_ITGB1
FN1,ITGAV_ITGB1,ECM-Receptor,Cell-Cell Contact,FN1,ITGAV_ITGB1,FN1,ITGAV_ITGB1
VTN,ITGAV_ITGB1,ECM-Receptor,Secreted Signaling,VTN,ITGAV_ITGB1,VTN,ITGAV_ITGB1
FN1,ITGA4_ITGB7,ECM-Receptor,Cell-Cell Contact,FN1,ITGA4_ITGB7,FN1,ITGA4_ITGB7
FN1,ITGAV_ITGB3,ECM-Receptor,Cell-Cell Contact,FN1,ITGAV_ITGB3,FN1,ITGAV_ITGB3
VTN,ITGAV_ITGB3,ECM-Receptor,Secreted Signaling,VTN,ITGAV_ITGB3,VTN,ITGAV_ITGB3
VWF,ITGAV_ITGB3,ECM-Receptor,Secreted Signaling,VWF,ITGAV_ITGB3,VWF,ITGAV_ITGB3
TNC,ITGAV_ITGB3,ECM-Receptor,Secreted Signaling,TNC,ITGAV_ITGB3,TNC,ITGAV_ITGB3
THBS1,ITGAV_ITGB3,ECM-Receptor,Secreted Signaling,THBS1,ITGAV_ITGB3,THBS1,ITGAV_ITGB3
FN1,ITGA2B_ITGB3,ECM-Receptor,Cell-Cell Contact,FN1,ITGA2B_ITGB3,FN1,ITGA2B_ITGB3
VTN,ITGA2B_ITGB3,ECM-Receptor,Secreted Signaling,VTN,ITGA2B_ITGB3,VTN,ITGA2B_ITGB3
TNC,ITGAV_ITGB6,ECM-Receptor,Secreted Signaling,TNC,ITGAV_ITGB6,TNC,ITGAV_ITGB6
THBS1,CD36,ECM-Receptor,Secreted Signaling,THBS1,CD36,THBS1,CD36
THBS2,CD36,ECM-Receptor,Secreted Signaling,THBS2,CD36,THBS2,CD36
APP,CD74,Cell-Cell Contact,Secreted Signaling,APP,CD74,APP,CD74
CD34,SELP,Cell-Cell Contact,Secreted Signaling,CD34,SELP,CD34,SELP
ENTPD1,ADORA1,Cell-Cell Contact,Secreted Signaling,ENTPD1,ADORA1,ENTPD1,ADORA1
ENTPD1,ADORA2A,Cell-Cell Contact,Secreted Signaling,ENTPD1,ADORA2A,ENTPD1,ADORA2A
ENTPD1,ADORA2B,Cell-Cell Contact,Secreted Signaling,ENTPD1,ADORA2B,ENTPD1,ADORA2B
CD40LG,CD40,Cell-Cell Contact,Secreted Signaling,CD40LG,CD40,CD40LG,CD40
CD48,CD244,Cell-Cell Contact,Secreted Signaling,CD48,CD244,CD48,CD244
CD80,CD28,Cell-Cell Contact,Secreted Signaling,CD80,CD28,CD80,CD28
CD80,CTLA4,Cell-Cell Contact,Secreted Signaling,CD80,CTLA4,CD80,CTLA4
CD86,CD28,Cell-Cell Contact,Secreted Signaling,CD86,CD28,CD86,CD28
CD86,CTLA4,Cell-Cell Contact,Secreted Signaling,CD86,CTLA4,CD86,CTLA4
CD99,PILRA,Cell-Cell Contact,Secreted Signaling,CD99,PILRA,CD99,PILRA
CDH1,KLRG1,Cell-Cell Contact,Secreted Signaling,CDH1,KLRG1,CDH1,KLRG1
CSPG4,ITGA3_ITGB1,Cell-Cell Contact,Secreted Signaling,CSPG4,ITGA3_ITGB1,CSPG4,ITGA3_ITGB1
EPGN,EGFR,Cell-Cell Contact,Secreted Signaling,EPGN,EGFR,EPGN,EGFR
EFNA1,EPHA1,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA1,EFNA1,EPHA1
EFNA1,EPHA2,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA2,EFNA1,EPHA2
EFNA1,EPHA3,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA3,EFNA1,EPHA3
EFNA1,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA4,EFNA1,EPHA4
EFNA1,EPHA5,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA5,EFNA1,EPHA5
EFNA1,EPHA7,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA7,EFNA1,EPHA7
EFNA1,EPHA8,Cell-Cell Contact,Secreted Signaling,EFNA1,EPHA8,EFNA1,EPHA8
EFNA2,EPHA1,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA1,EFNA2,EPHA1
EFNA2,EPHA2,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA2,EFNA2,EPHA2
EFNA2,EPHA3,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA3,EFNA2,EPHA3
EFNA2,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA4,EFNA2,EPHA4
EFNA2,EPHA5,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA5,EFNA2,EPHA5
EFNA2,EPHA7,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA7,EFNA2,EPHA7
EFNA2,EPHA8,Cell-Cell Contact,Secreted Signaling,EFNA2,EPHA8,EFNA2,EPHA8
EFNA3,EPHA1,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA1,EFNA3,EPHA1
EFNA3,EPHA2,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA2,EFNA3,EPHA2
EFNA3,EPHA3,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA3,EFNA3,EPHA3
EFNA3,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA4,EFNA3,EPHA4
EFNA3,EPHA5,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA5,EFNA3,EPHA5
EFNA3,EPHA7,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA7,EFNA3,EPHA7
EFNA3,EPHA8,Cell-Cell Contact,Secreted Signaling,EFNA3,EPHA8,EFNA3,EPHA8
EFNA4,EPHA1,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA1,EFNA4,EPHA1
EFNA4,EPHA2,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA2,EFNA4,EPHA2
EFNA4,EPHA3,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA3,EFNA4,EPHA3
EFNA4,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA4,EFNA4,EPHA4
EFNA4,EPHA5,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA5,EFNA4,EPHA5
EFNA4,EPHA7,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA7,EFNA4,EPHA7
EFNA4,EPHA8,Cell-Cell Contact,Secreted Signaling,EFNA4,EPHA8,EFNA4,EPHA8
EFNA5,EPHA1,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA1,EFNA5,EPHA1
EFNA5,EPHA2,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA2,EFNA5,EPHA2
EFNA5,EPHA3,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA3,EFNA5,EPHA3
EFNA5,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA4,EFNA5,EPHA4
EFNA5,EPHA5,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA5,EFNA5,EPHA5
EFNA5,EPHA7,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA7,EFNA5,EPHA7
EFNA5,EPHA8,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHA8,EFNA5,EPHA8
EFNA5,EPHB2,Cell-Cell Contact,Secreted Signaling,EFNA5,EPHB2,EFNA5,EPHB2
EFNB1,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNB1,EPHA4,EFNB1,EPHA4
EFNB1,EPHB1,Cell-Cell Contact,Secreted Signaling,EFNB1,EPHB1,EFNB1,EPHB1
EFNB1,EPHB2,Cell-Cell Contact,Secreted Signaling,EFNB1,EPHB2,EFNB1,EPHB2
EFNB1,EPHB3,Cell-Cell Contact,Secreted Signaling,EFNB1,EPHB3,EFNB1,EPHB3
EFNB1,EPHB4,Cell-Cell Contact,Secreted Signaling,EFNB1,EPHB4,EFNB1,EPHB4
EFNB2,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNB2,EPHA4,EFNB2,EPHA4
EFNB2,EPHB1,Cell-Cell Contact,Secreted Signaling,EFNB2,EPHB1,EFNB2,EPHB1
EFNB2,EPHB2,Cell-Cell Contact,Secreted Signaling,EFNB2,EPHB2,EFNB2,EPHB2
EFNB2,EPHB3,Cell-Cell Contact,Secreted Signaling,EFNB2,EPHB3,EFNB2,EPHB3
EFNB2,EPHB4,Cell-Cell Contact,Secreted Signaling,EFNB2,EPHB4,EFNB2,EPHB4
EFNB3,EPHA4,Cell-Cell Contact,Secreted Signaling,EFNB3,EPHA4,EFNB3,EPHA4
EFNB3,EPHB1,Cell-Cell Contact,Secreted Signaling,EFNB3,EPHB1,EFNB3,EPHB1
EFNB3,EPHB2,Cell-Cell Contact,Secreted Signaling,EFNB3,EPHB2,EFNB3,EPHB2
EFNB3,EPHB3,Cell-Cell Contact,Secreted Signaling,EFNB3,EPHB3,EFNB3,EPHB3
EFNB3,EPHB4,Cell-Cell Contact,Secreted Signaling,EFNB3,EPHB4,EFNB3,EPHB4
EFNB3,EPHB6,Cell-Cell Contact,Secreted Signaling,EFNB3,EPHB6,EFNB3,EPHB6
GP1BA,ITGAM_ITGB2,Cell-Cell Contact,Secreted Signaling,GP1BA,ITGAM_ITGB2,GP1BA,ITGAM_ITGB2
ICAM1,ITGAX_ITGB2,Cell-Cell Contact,Secreted Signaling,ICAM1,ITGAX_ITGB2,ICAM1,ITGAX_ITGB2
ICAM1,ITGAL_ITGB2,Cell-Cell Contact,Secreted Signaling,ICAM1,ITGAL_ITGB2,ICAM1,ITGAL_ITGB2
ICAM2,ITGAL_ITGB2,Cell-Cell Contact,Secreted Signaling,ICAM2,ITGAL_ITGB2,ICAM2,ITGAL_ITGB2
ICAM1,ITGAM_ITGB2,Cell-Cell Contact,Secreted Signaling,ICAM1,ITGAM_ITGB2,ICAM1,ITGAM_ITGB2
ICAM1,ITGAL,Cell-Cell Contact,Secreted Signaling,ICAM1,ITGAL,ICAM1,ITGAL
ICOSLG,ICOS,Cell-Cell Contact,Secreted Signaling,ICOSLG,ICOS,ICOSLG,ICOS
F11R,ITGAL_ITGB2,Cell-Cell Contact,Secreted Signaling,F11R,ITGAL_ITGB2,F11R,ITGAL_ITGB2
L1CAM,ITGAV_ITGB3,Cell-Cell Contact,Secreted Signaling,L1CAM,ITGAV_ITGB3,L1CAM,ITGAV_ITGB3
HLA-C,KIR2DL1,Cell-Cell Contact,Secreted Signaling,HLA-C,KIR2DL1,HLA-C,KIR2DL1
HLA-C,KIR2DL3,Cell-Cell Contact,Secreted Signaling,HLA-C,KIR2DL3,HLA-C,KIR2DL3
HLA-G,LILRB1,Cell-Cell Contact,Secreted Signaling,HLA-G,LILRB1,HLA-G,LILRB1
HLA-G,LILRB2,Cell-Cell Contact,Secreted Signaling,HLA-G,LILRB2,HLA-G,LILRB2
HLA-F,KIR3DL1,Cell-Cell Contact,Secreted Signaling,HLA-F,KIR3DL1,HLA-F,KIR3DL1
HLA-F,KIR3DL2,Cell-Cell Contact,Secreted Signaling,HLA-F,KIR3DL2,HLA-F,KIR3DL2
HLA-B,KIR3DL2,Cell-Cell Contact,Secreted Signaling,HLA-B,KIR3DL2,HLA-B,KIR3DL2
HLA-E,KLRC1,Cell-Cell Contact,Secreted Signaling,HLA-E,KLRC1,HLA-E,KLRC1
HLA-E,KLRC2,Cell-Cell Contact,Secreted Signaling,HLA-E,KLRC2,HLA-E,KLRC2
HLA-A,KIR3DL1,Cell-Cell Contact,Secreted Signaling,HLA-A,KIR3DL1,HLA-A,KIR3DL1
HLA-F,LILRB1,Cell-Cell Contact,Secreted Signaling,HLA-F,LILRB1,HLA-F,LILRB1
HLA-E,KLRK1,Cell-Cell Contact,Secreted Signaling,HLA-E,KLRK1,HLA-E,KLRK1
HLA-F,KIR3DS1,Cell-Cell Contact,Secreted Signaling,HLA-F,KIR3DS1,HLA-F,KIR3DS1
HLA-E,KLRC1_KLRD1,Cell-Cell Contact,Secreted Signaling,HLA-E,KLRC1_KLRD1,HLA-E,KLRC1_KLRD1
HLA-E,KLRC2_KLRD1,Cell-Cell Contact,Secreted Signaling,HLA-E,KLRC2_KLRD1,HLA-E,KLRC2_KLRD1
HLA-E,KLRC3_KLRD1,Cell-Cell Contact,Secreted Signaling,HLA-E,KLRC3_KLRD1,HLA-E,KLRC3_KLRD1
NCAM1,FGFR1,Cell-Cell Contact,Secreted Signaling,NCAM1,FGFR1,NCAM1,FGFR1
NECTIN3,PVR,Cell-Cell Contact,Secreted Signaling,NECTIN3,PVR,NECTIN3,PVR
NECTIN3,TIGIT,Cell-Cell Contact,Secreted Signaling,NECTIN3,TIGIT,NECTIN3,TIGIT
NECTIN2,TIGIT,Cell-Cell Contact,Secreted Signaling,NECTIN2,TIGIT,NECTIN2,TIGIT
LRRC4B,PTPRF,Cell-Cell Contact,Secreted Signaling,LRRC4B,PTPRF,LRRC4B,PTPRF
DLK1,NOTCH1,Cell-Cell Contact,Secreted Signaling,DLK1,NOTCH1,DLK1,NOTCH1
DLK1,NOTCH2,Cell-Cell Contact,Secreted Signaling,DLK1,NOTCH2,DLK1,NOTCH2
DLK1,NOTCH3,Cell-Cell Contact,Secreted Signaling,DLK1,NOTCH3,DLK1,NOTCH3
DLK1,NOTCH4,Cell-Cell Contact,Secreted Signaling,DLK1,NOTCH4,DLK1,NOTCH4
DLL1,NOTCH1,Cell-Cell Contact,Secreted Signaling,DLL1,NOTCH1,DLL1,NOTCH1
DLL1,NOTCH3,Cell-Cell Contact,Secreted Signaling,DLL1,NOTCH3,DLL1,NOTCH3
DLL1,NOTCH4,Cell-Cell Contact,Secreted Signaling,DLL1,NOTCH4,DLL1,NOTCH4
DLL3,NOTCH1,Cell-Cell Contact,Secreted Signaling,DLL3,NOTCH1,DLL3,NOTCH1
DLL3,NOTCH2,Cell-Cell Contact,Secreted Signaling,DLL3,NOTCH2,DLL3,NOTCH2
DLL3,NOTCH3,Cell-Cell Contact,Secreted Signaling,DLL3,NOTCH3,DLL3,NOTCH3
DLL3,NOTCH4,Cell-Cell Contact,Secreted Signaling,DLL3,NOTCH4,DLL3,NOTCH4
DLL4,NOTCH1,Cell-Cell Contact,Secreted Signaling,DLL4,NOTCH1,DLL4,NOTCH1
DLL4,NOTCH2,Cell-Cell Contact,Secreted Signaling,DLL4,NOTCH2,DLL4,NOTCH2
DLL4,NOTCH3,Cell-Cell Contact,Secreted Signaling,DLL4,NOTCH3,DLL4,NOTCH3
DLL4,NOTCH4,Cell-Cell Contact,Secreted Signaling,DLL4,NOTCH4,DLL4,NOTCH4
JAG1,NOTCH1,Cell-Cell Contact,Secreted Signaling,JAG1,NOTCH1,JAG1,NOTCH1
JAG1,NOTCH2,Cell-Cell Contact,Secreted Signaling,JAG1,NOTCH2,JAG1,NOTCH2
JAG1,NOTCH3,Cell-Cell Contact,Secreted Signaling,JAG1,NOTCH3,JAG1,NOTCH3
JAG1,NOTCH4,Cell-Cell Contact,Secreted Signaling,JAG1,NOTCH4,JAG1,NOTCH4
JAG2,NOTCH1,Cell-Cell Contact,Secreted Signaling,JAG2,NOTCH1,JAG2,NOTCH1
JAG2,NOTCH2,Cell-Cell Contact,Secreted Signaling,JAG2,NOTCH2,JAG2,NOTCH2
JAG2,NOTCH3,Cell-Cell Contact,Secreted Signaling,JAG2,NOTCH3,JAG2,NOTCH3
JAG2,NOTCH4,Cell-Cell Contact,Secreted Signaling,JAG2,NOTCH4,JAG2,NOTCH4
DLL1,NOTCH2,Cell-Cell Contact,Secreted Signaling,DLL1,NOTCH2,DLL1,NOTCH2
CD274,PDCD1,Cell-Cell Contact,Secreted Signaling,CD274,PDCD1,CD274,PDCD1
PDCD1LG2,PDCD1,Cell-Cell Contact,Secreted Signaling,PDCD1LG2,PDCD1,PDCD1LG2,PDCD1
PVR,CD226,Cell-Cell Contact,Secreted Signaling,PVR,CD226,PVR,CD226
PVR,TIGIT,Cell-Cell Contact,Secreted Signaling,PVR,TIGIT,PVR,TIGIT
SELE,GLG1,Cell-Cell Contact,Secreted Signaling,SELE,GLG1,SELE,GLG1
SELPLG,SELE,Cell-Cell Contact,Secreted Signaling,SELPLG,SELE,SELPLG,SELE
SELPLG,SELL,Cell-Cell Contact,Secreted Signaling,SELPLG,SELL,SELPLG,SELL
SELPLG,SELP,Cell-Cell Contact,Secreted Signaling,SELPLG,SELP,SELPLG,SELP
SEMA4D,PLXNB1,Cell-Cell Contact,Secreted Signaling,SEMA4D,PLXNB1,SEMA4D,PLXNB1
SEMA4D,PLXNB2,Cell-Cell Contact,Secreted Signaling,SEMA4D,PLXNB2,SEMA4D,PLXNB2
SEMA4D,PLXNB3,Cell-Cell Contact,Secreted Signaling,SEMA4D,PLXNB3,SEMA4D,PLXNB3
SEMA4C,PLXNB2,Cell-Cell Contact,Secreted Signaling,SEMA4C,PLXNB2,SEMA4C,PLXNB2
SEMA4G,PLXNB2,Cell-Cell Contact,Secreted Signaling,SEMA4G,PLXNB2,SEMA4G,PLXNB2
SEMA4D,CD72,Cell-Cell Contact,Secreted Signaling,SEMA4D,CD72,SEMA4D,CD72
SEMA5A,PLXNB3,Cell-Cell Contact,Secreted Signaling,SEMA5A,PLXNB3,SEMA5A,PLXNB3
SEMA6D,KDR_PLXNA1,Cell-Cell Contact,Secreted Signaling,SEMA6D,KDR_PLXNA1,SEMA6D,KDR_PLXNA1
