ligand_norm,receptor_norm,signaling_type_ccv2,signaling_type_lr,ligand_ccv2,receptor_ccv2,ligand_lr,receptor_lr
TBXAS1,TBXA2R,Non-protein Signaling,Secreted Signaling,TBXAS1,TBXA2R,TBXAS1,TBXA2R
PTGR1,LTB4R,Non-protein Signaling,Secreted Signaling,PTGR1,LTB4R,PTGR1,LTB4R
PTGR1,LTB4R2,Non-protein Signaling,Secreted Signaling,PTGR1,LTB4R2,PTGR1,LTB4R2
CYP11A1,NR1H4,Non-protein Signaling,Secreted Signaling,CYP11A1,NR1H4,CYP11A1,NR1H4
CYP3A4,NR1H4,Non-protein Signaling,Secreted Signaling,CYP3A4,NR1H4,CYP3A4,NR1H4
DAGLA,CNR1,Non-protein Signaling,Secreted Signaling,DAGLA,CNR1,DAGLA,CNR1
DAGLA,CNR2,Non-protein Signaling,Secreted Signaling,DAGLA,CNR2,DAGLA,CNR2
DAGLA,GPR55,Non-protein Signaling,Secreted Signaling,DAGLA,GPR55,DAGLA,GPR55
DAGLB,CNR1,Non-protein Signaling,Secreted Signaling,DAGLB,CNR1,DAGLB,CNR1
DAGLB,CNR2,Non-protein Signaling,Secreted Signaling,DAGLB,CNR2,DAGLB,CNR2
DAGLB,GPR55,Non-protein Signaling,Secreted Signaling,DAGLB,GPR55,DAGLB,GPR55
DHRS9,PGR,Non-protein Signaling,Secreted Signaling,DHRS9,PGR,DHRS9,PGR
APP,SORL1,Cell-Cell Contact,Secreted Signaling,APP,SORL1,APP,SORL1
APP,TNFRSF21,Cell-Cell Contact,Secreted Signaling,APP,TNFRSF21,APP,TNFRSF21
APP,TREM2_TYROBP,Cell-Cell Contact,Secreted Signaling,APP,TREM2_TYROBP,APP,TREM2_TYROBP
CYP11B2,NR3C1,Non-protein Signaling,Secreted Signaling,CYP11B2,NR3C1,CYP11B2,NR3C1
CYP11B2,NR3C2,Non-protein Signaling,Secreted Signaling,CYP11B2,NR3C2,CYP11B2,NR3C2
CYP17A1,AR,Non-protein Signaling,Secreted Signaling,CYP17A1,AR,CYP17A1,AR
