ligand,receptor,pathway,signaling_type
IL1RN,IL1R2_IL1RAP,nan,Secreted Signaling
IL24,IL20RA_IL20RB,nan,Secreted Signaling
IL20,IL20RA_IL20RB,nan,Secreted Signaling
IL19,IL20RA_IL20RB,nan,Secreted Signaling
IL24,IL22RA1_IL20RB,nan,Secreted Signaling
IL20,IL22RA1_IL20RB,nan,Secreted Signaling
IL21,IL21R_IL2RG,nan,Secreted Signaling
IL22,IL22RA1_IL10RB,nan,Secreted Signaling
IL12B_IL23A,IL12RB1_IL23R,nan,Secreted Signaling
IL26,IL20RA_IL10RB,nan,Secreted Signaling
EBI3_IL27,IL27RA_IL6ST,nan,Secreted Signaling
IFNL3,IFNLR1_IL10RB,nan,Secreted Signaling
IL2,IL2RA_IL2RB_IL2RG,nan,Secreted Signaling
IL2,IL2RB_IL2RG,nan,Secreted Signaling
IL33,IL1RL1_IL1RAP,nan,Secreted Signaling
EBI3_IL12A,IL6ST_IL12RB2,nan,Secreted Signaling
IL1F10,IL1RL2_IL1RAP,nan,Secreted Signaling
IL36B,IL1RL2_IL1RAP,nan,Secreted Signaling
IL36G,IL1RL2_IL1RAP,nan,Secreted Signaling
IL36RN,IL1RL2_IL1RAP,nan,Secreted Signaling
IL36A,IL1RL2_IL1RAP,nan,Secreted Signaling
IL37,IL18R1_SIGIRR,nan,Secreted Signaling
IL3,CSF2RB_IL3RA,nan,Secreted Signaling
IL4,IL2RG_IL4R,nan,Secreted Signaling
IL5,CSF2RB_IL5RA,nan,Secreted Signaling
IL6,IL6R_IL6ST,nan,Secreted Signaling
IL7,IL7R_IL2RG,nan,Secreted Signaling
IL9,IL9R_IL2RG,nan,Secreted Signaling
OSM,LIFR_IL6ST,nan,Secreted Signaling
LIF,LIFR_IL6ST,nan,Secreted Signaling
AGRN,MUSK_LRP4,nan,Secreted Signaling
TYR,GPR143,nan,Secreted Signaling
LTA4H,GPR17,nan,Secreted Signaling
LTA4H,LTB4R,nan,Secreted Signaling
LTA4H,LTB4R2,nan,Secreted Signaling
ALOX5AP_ALOX5_LTC4S,GPR17,nan,Secreted Signaling
ALOX5AP_ALOX5_LTC4S,CYSLTR2,nan,Secreted Signaling
ALOX5AP_ALOX5_LTC4S,CYSLTR1,nan,Secreted Signaling
GGT1_GGT5,GPR17,nan,Secreted Signaling
GGT1_GGT5,CYSLTR2,nan,Secreted Signaling
GGT1_GGT5,CYSLTR1,nan,Secreted Signaling
DPEP1,CYSLTR1,nan,Secreted Signaling
DPEP2,CYSLTR1,nan,Secreted Signaling
DPEP3,CYSLTR1,nan,Secreted Signaling
ALOX12,FPR2,nan,Secreted Signaling
ALOX12,CYSLTR1,nan,Secreted Signaling
ALOX5_ALOX5AP_LTC4S,FPR2,nan,Secreted Signaling
ALOX5_ALOX5AP_LTC4S,CYSLTR1,nan,Secreted Signaling
ERVH48-1,SLC1A5,nan,Secreted Signaling
AMH,AMHR2_BMPR1A,nan,Secreted Signaling
AMH,AMHR2_BMPR1B,nan,Secreted Signaling
AMH,AMHR2_ACVR1,nan,Secreted Signaling
ASMT,MTNR1A,nan,Secreted Signaling
ASMT,MTNR1B,nan,Secreted Signaling
KLRK1_HCST,MICB,nan,Cell-Cell Contact
KLRK1_HCST,MICA,nan,Cell-Cell Contact
KLRK1_HCST,RAET1L,nan,Cell-Cell Contact
RAET1G,KLRK1_HCST,nan,Secreted Signaling
RAET1E,KLRK1_HCST,nan,Secreted Signaling
KLRK1_HCST,ULBP3,nan,Cell-Cell Contact
ULBP2,KLRK1_HCST,nan,Secreted Signaling
KLRK1_HCST,ULBP1,nan,Cell-Cell Contact
NODAL,ACVR1B_ACVR2A_CFC1,nan,Secreted Signaling
NODAL,ACVR1B_ACVR2A_TDGF1,nan,Secreted Signaling
NODAL,ACVR1B_ACVR2B_CFC1,nan,Secreted Signaling
NODAL,ACVR1B_ACVR2B_TDGF1,nan,Secreted Signaling
NODAL,ACVR1C_ACVR2B_CFC1,nan,Secreted Signaling
NODAL,ACVR1C_ACVR2B_TDGF1,nan,Secreted Signaling
DBH,ADRB2,nan,Secreted Signaling
DBH,ADRB1,nan,Secreted Signaling
DBH,ADRA2A,nan,Secreted Signaling
DBH,ADRB3,nan,Secreted Signaling
DBH,ADRA2B,nan,Secreted Signaling
DBH,ADRA2C,nan,Secreted Signaling
DBH,ADRA1D,nan,Secreted Signaling
DBH,ADRA1A,nan,Secreted Signaling
DBH,ADRA1B,nan,Secreted Signaling
RETN,GPR25,nan,Secreted Signaling
CCL24,CCR2,nan,Secreted Signaling
CCL24,CCR3,nan,Secreted Signaling
LGALS9,MET,nan,Secreted Signaling
LGALS9,CD44,nan,Secreted Signaling
LGALS9,LRP1,nan,Secreted Signaling
LGALS9,CD47,nan,Secreted Signaling
LGALS9,DAG1,nan,Secreted Signaling
LGALS9,PTPRK,nan,Secreted Signaling
LGALS9,SLC1A5,nan,Secreted Signaling
LGALS9,COLEC12,nan,Secreted Signaling
LGALS9,HAVCR2,nan,Secreted Signaling
LGALS9,SORL1,nan,Secreted Signaling
LGALS9,MRC2,nan,Secreted Signaling
TNFSF10,TNFRSF10A,nan,Secreted Signaling
CORT,SSTR1,nan,Secreted Signaling
CORT,SSTR2,nan,Secreted Signaling
CORT,SSTR4,nan,Secreted Signaling
CORT,SSTR3,nan,Secreted Signaling
CORT,SSTR5,nan,Secreted Signaling
CORT,GHSR,nan,Secreted Signaling
CORT,MRGPRX2,nan,Secreted Signaling
AGRP,MC4R,nan,Secreted Signaling
AGRP,MC5R,nan,Secreted Signaling
AGRP,MC3R,nan,Secreted Signaling
TULP1,TYRO3,nan,Secreted Signaling
TNFRSF11B,TNFSF11,nan,Secreted Signaling
CCL19,CCRL2,nan,Secreted Signaling
RARRES2,CCRL2,nan,Secreted Signaling
AGRN,NCAM1,nan,Secreted Signaling
AGRN,PTPRS,nan,Secreted Signaling
DLL1,NOTCH1,nan,Cell-Cell Contact
DLL1,NOTCH2,nan,Cell-Cell Contact
DLL1,NOTCH4,nan,Cell-Cell Contact
DLL1,NOTCH3,nan,Cell-Cell Contact
CXCL16,CXCR6,nan,Secreted Signaling
RNASET2,TLR8,nan,Secreted Signaling
CCL21,CCR7,nan,Secreted Signaling
CCL21,ACKR4,nan,Secreted Signaling
CCL3,ACKR2,nan,Secreted Signaling
CCL4,ACKR2,nan,Secreted Signaling
