ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
GLS2_SLC17A7,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS059F4ED23,Secreted Signaling
GLS2_SLC17A8,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS0416CB0F5,Secreted Signaling
GLS2_SLC1A1,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS089C871BA,Secreted Signaling
GLS2_SLC1A2,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS070B19B57,Secreted Signaling
GLS2_SLC1A3,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS09CF4D275,Secreted Signaling
GLS2_SLC1A6,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS0C7C7DD02,Secreted Signaling
GLS2_SLC1A7,GRM1,Signaling by Glutamate,Ligand-Receptor,CPI-CS0AF8F897B,Secreted Signaling
GLS_SLC17A6,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS029E1DC98,Secreted Signaling
GLS_SLC17A7,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS046DB98C7,Secreted Signaling
GLS_SLC17A8,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS00F7ADF6B,Secreted Signaling
GLS_SLC1A1,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS099892F99,Secreted Signaling
GLS_SLC1A2,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS08C7956BD,Secreted Signaling
GLS_SLC1A3,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS077A43ACD,Secreted Signaling
GLS_SLC1A6,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0CD4875F8,Secreted Signaling
GLS_SLC1A7,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0CA04CA30,Secreted Signaling
GLS2_SLC17A6,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS091852A34,Secreted Signaling
GLS2_SLC17A7,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0EC77FC9C,Secreted Signaling
GLS2_SLC17A8,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS090CDDA91,Secreted Signaling
GLS2_SLC1A1,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0286AF8D6,Secreted Signaling
GLS2_SLC1A2,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0916EF39D,Secreted Signaling
GLS2_SLC1A3,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS07C63C8BC,Secreted Signaling
GLS2_SLC1A6,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0BC3D8A73,Secreted Signaling
GLS2_SLC1A7,GRM2,Signaling by Glutamate,Ligand-Receptor,CPI-CS0E5972156,Secreted Signaling
GLS_SLC17A6,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS08AC774C8,Secreted Signaling
GLS_SLC17A7,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS013ADF74E,Secreted Signaling
GLS_SLC17A8,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS01EA6FC47,Secreted Signaling
GLS_SLC1A1,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS035E3DC49,Secreted Signaling
GLS_SLC1A2,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0444827FD,Secreted Signaling
GLS_SLC1A3,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0D33309E7,Secreted Signaling
GLS_SLC1A6,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0C43745D6,Secreted Signaling
GLS_SLC1A7,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0D67AEEF8,Secreted Signaling
GLS2_SLC17A6,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS00469C577,Secreted Signaling
GLS2_SLC17A7,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0AE7F1FB9,Secreted Signaling
GLS2_SLC17A8,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A5B00FEC,Secreted Signaling
GLS2_SLC1A1,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS081D8412E,Secreted Signaling
GLS2_SLC1A2,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS01E5D0183,Secreted Signaling
GLS2_SLC1A3,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS05D1E58B4,Secreted Signaling
GLS2_SLC1A6,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0554D19E3,Secreted Signaling
GLS2_SLC1A7,GRM3,Signaling by Glutamate,Ligand-Receptor,CPI-CS0F4182DEF,Secreted Signaling
GLS_SLC17A6,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0ACB62C99,Secreted Signaling
GLS_SLC17A7,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS092F9D032,Secreted Signaling
GLS_SLC17A8,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS03479D25E,Secreted Signaling
GLS_SLC1A1,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS08648BDFD,Secreted Signaling
GLS_SLC1A2,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0FA9C25E9,Secreted Signaling
GLS_SLC1A3,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS071698505,Secreted Signaling
GLS_SLC1A6,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS07AF8702D,Secreted Signaling
GLS_SLC1A7,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0EF654316,Secreted Signaling
GLS2_SLC17A6,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0ED1ED131,Secreted Signaling
GLS2_SLC17A7,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS09CFDCF78,Secreted Signaling
GLS2_SLC17A8,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS00323BD9A,Secreted Signaling
GLS2_SLC1A1,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0041BE443,Secreted Signaling
GLS2_SLC1A2,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0D7A1419D,Secreted Signaling
GLS2_SLC1A3,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0591372DE,Secreted Signaling
GLS2_SLC1A6,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS0DB067721,Secreted Signaling
GLS2_SLC1A7,GRM4,Signaling by Glutamate,Ligand-Receptor,CPI-CS071CB03F7,Secreted Signaling
GLS_SLC17A6,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS02BEC2C34,Secreted Signaling
GLS_SLC17A7,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS065936301,Secreted Signaling
GLS_SLC17A8,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS094459C68,Secreted Signaling
GLS_SLC1A1,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0EECB890E,Secreted Signaling
GLS_SLC1A2,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS04A0AEE4C,Secreted Signaling
GLS_SLC1A3,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0305D24F6,Secreted Signaling
GLS_SLC1A6,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A5376E7A,Secreted Signaling
GLS_SLC1A7,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS002ECD5B1,Secreted Signaling
GLS2_SLC17A6,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0159C4BD7,Secreted Signaling
GLS2_SLC17A7,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0BA5C6CCB,Secreted Signaling
GLS2_SLC17A8,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A5C5F9DF,Secreted Signaling
GLS2_SLC1A1,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS05B11F2F4,Secreted Signaling
GLS2_SLC1A2,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS06CD4A71F,Secreted Signaling
GLS2_SLC1A3,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS03D684E7D,Secreted Signaling
GLS2_SLC1A6,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS0F106270D,Secreted Signaling
GLS2_SLC1A7,GRM5,Signaling by Glutamate,Ligand-Receptor,CPI-CS03B7CB71D,Secreted Signaling
GLS_SLC17A6,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS00B52BFC6,Secreted Signaling
GLS_SLC17A7,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A5114B04,Secreted Signaling
GLS_SLC17A8,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS07B0A120C,Secreted Signaling
GLS_SLC1A1,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A1A5DA91,Secreted Signaling
GLS_SLC1A2,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS0B90BEB16,Secreted Signaling
GLS_SLC1A3,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS002D05AD7,Secreted Signaling
GLS_SLC1A6,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS020F306DA,Secreted Signaling
GLS_SLC1A7,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS070154D3B,Secreted Signaling
GLS2_SLC17A6,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS02A9283E5,Secreted Signaling
GLS2_SLC17A7,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS0EC6271ED,Secreted Signaling
GLS2_SLC17A8,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS0B8F51188,Secreted Signaling
GLS2_SLC1A1,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS05610B89F,Secreted Signaling
GLS2_SLC1A2,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS055AEE574,Secreted Signaling
GLS2_SLC1A3,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS09698412B,Secreted Signaling
GLS2_SLC1A6,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS0764E52B3,Secreted Signaling
GLS2_SLC1A7,GRM6,Signaling by Glutamate,Ligand-Receptor,CPI-CS03DC684EF,Secreted Signaling
GLS_SLC17A6,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS040CBA095,Secreted Signaling
GLS_SLC17A7,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS0F37D7476,Secreted Signaling
GLS_SLC17A8,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS0CDD9F86D,Secreted Signaling
GLS_SLC1A1,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS093EF3F47,Secreted Signaling
GLS_SLC1A2,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS007136501,Secreted Signaling
GLS_SLC1A3,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS09F74FD39,Secreted Signaling
GLS_SLC1A6,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS07EF8D9C2,Secreted Signaling
GLS_SLC1A7,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS0F4C33641,Secreted Signaling
GLS2_SLC17A6,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS0D542DC14,Secreted Signaling
GLS2_SLC17A7,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS004BB0890,Secreted Signaling
GLS2_SLC17A8,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS00B734C46,Secreted Signaling
GLS2_SLC1A1,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS00061350E,Secreted Signaling
GLS2_SLC1A2,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS0975DD44D,Secreted Signaling
GLS2_SLC1A3,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS0EFE72F4B,Secreted Signaling
GLS2_SLC1A6,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS09E87611A,Secreted Signaling
GLS2_SLC1A7,GRM7,Signaling by Glutamate,Ligand-Receptor,CPI-CS083EC4342,Secreted Signaling
GLS_SLC17A6,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS054C4533B,Secreted Signaling
GLS_SLC17A7,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS007F02C96,Secreted Signaling
GLS_SLC17A8,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS008F12179,Secreted Signaling
GLS_SLC1A1,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0BEF05FE2,Secreted Signaling
GLS_SLC1A2,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0B9E5E3DB,Secreted Signaling
GLS_SLC1A3,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS017089111,Secreted Signaling
GLS_SLC1A6,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS08910752E,Secreted Signaling
GLS_SLC1A7,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0279E4E92,Secreted Signaling
GLS2_SLC17A6,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS04F89F4C0,Secreted Signaling
GLS2_SLC17A7,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS00A95D069,Secreted Signaling
GLS2_SLC17A8,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS01BC2C4FF,Secreted Signaling
GLS2_SLC1A1,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A14FBC54,Secreted Signaling
GLS2_SLC1A2,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0A2EDD507,Secreted Signaling
GLS2_SLC1A3,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0947C60AA,Secreted Signaling
GLS2_SLC1A6,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0270ABC42,Secreted Signaling
GLS2_SLC1A7,GRM8,Signaling by Glutamate,Ligand-Receptor,CPI-CS0180815DB,Secreted Signaling
SHMT1_SLC6A5,GLRA1_GLRB,Signaling by Glycine,Ligand-Receptor,CPI-CC013523ED0,Secreted Signaling
SHMT1_SLC6A9,GLRA1_GLRB,Signaling by Glycine,Ligand-Receptor,CPI-CC038A555FC,Secreted Signaling
SHMT2_SLC6A5,GLRA1_GLRB,Signaling by Glycine,Ligand-Receptor,CPI-CC014456804,Secreted Signaling
SHMT2_SLC6A9,GLRA1_GLRB,Signaling by Glycine,Ligand-Receptor,CPI-CC00045ECF5,Secreted Signaling
SHMT1_SLC6A5,GLRA2,Signaling by Glycine,Ligand-Receptor,CPI-CC0DE37C04C,Secreted Signaling
SHMT1_SLC6A9,GLRA2,Signaling by Glycine,Ligand-Receptor,CPI-CC054A40212,Secreted Signaling
SHMT2_SLC6A5,GLRA2,Signaling by Glycine,Ligand-Receptor,CPI-CC0F959FD6A,Secreted Signaling
SHMT2_SLC6A9,GLRA2,Signaling by Glycine,Ligand-Receptor,CPI-CC0EA1D60C5,Secreted Signaling
GAS6,AXL,Signaling by Growth arrest,Ligand-Receptor,CPI-SS0AE964947,Secreted Signaling
GAS6,TYRO3,Signaling by Growth arrest,Ligand-Receptor,CPI-SS0BDA0E5E0,Secreted Signaling
TULP1,TYRO3,,Ligand-Receptor,CPI-SS0E9F23560,Secreted Signaling
GDF1,ACVR1B_ACVR2B,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC007562F49,Secreted Signaling
GDF10,ACVR1B_ACVR2B,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC0A86600AA,Secreted Signaling
GDF11,ACVR1B_ACVR2B,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC0002A7A8F,Secreted Signaling
GDF3,ACVR1B_ACVR2B,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC01987CF29,Secreted Signaling
MSTN,ACVR1B_ACVR2B,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC0CC98A4B4,Secreted Signaling
INHBA_INHBB,ACVR1B_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0E6BCEC26,Secreted Signaling
INHA,ACVR1B_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-SC0FDDA8A63,Secreted Signaling
INHA_INHBA,ACVR1B_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC04553E312,Secreted Signaling
INHA_INHBB,ACVR1B_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC057B323A5,Secreted Signaling
GDF11,ACVR1B_ACVR2A,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC00C9C81E3,Secreted Signaling
INHBA_INHBB,ACVR1B_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0288FD89F,Secreted Signaling
INHA,ACVR1B_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-SC0B3D321CC,Secreted Signaling
INHA_INHBA,ACVR1B_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0FA8B4931,Secreted Signaling
INHA_INHBB,ACVR1B_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC02D192370,Secreted Signaling
GDF11,ACVR2A_TGFBR1,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC001669E22,Secreted Signaling
MSTN,ACVR2A_TGFBR1,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC023986FB9,Secreted Signaling
GDF11,ACVR2B_TGFBR1,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC017215F7F,Secreted Signaling
MSTN,ACVR2B_TGFBR1,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC08968AFE6,Secreted Signaling
GDF9,BMPR2_TGFBR1,Signaling by Growth differentiation factor,Ligand-Receptor,CPI-SC0FDB4B6D9,Secreted Signaling
GHRH,GHRHR,Signaling by Growth hormone-releasing hormone,Ligand-Receptor,CPI-SS074050495,Secreted Signaling
GHRL,GHRHR,Signaling by Growth hormone-releasing hormone,Ligand-Receptor,CPI-SS0C9DBD840,Secreted Signaling
GHRL,GHSR,Signaling by Growth hormone-releasing hormone,Ligand-Receptor,CPI-SS0DE3B267F,Secreted Signaling
PENK,GHSR,,Ligand-Receptor,CPI-SS09F7A6011,Secreted Signaling
GHRL,GPR39,Signaling by Growth hormone-releasing hormone,Ligand-Receptor,CPI-SS02AEB612C,Secreted Signaling
HDC,HRH1,Signaling by Histamine,Ligand-Receptor,CPI-CS0FF6E7611,Secreted Signaling
HDC,HRH2,Signaling by Histamine,Ligand-Receptor,CPI-CS045AC7D7C,Secreted Signaling
HDC,HRH3,Signaling by Histamine,Ligand-Receptor,CPI-CS0D98D69FC,Secreted Signaling
HLA-A,KIR3DL1,Signaling by HLA,Ligand-Receptor,CPI-SS0CBAA9BCC,Cell-Cell Contact
HLA-F,KIR3DL1,Signaling by HLA,Ligand-Receptor,CPI-SS048242083,Cell-Cell Contact
HLA-B,KIR3DL2,Signaling by HLA,Ligand-Receptor,CPI-SS0987A89AE,Cell-Cell Contact
HLA-F,KIR3DL2,Signaling by HLA,Ligand-Receptor,CPI-SS0BDD10277,Cell-Cell Contact
HLA-C,KIR2DL1,Signaling by HLA,Ligand-Receptor,CPI-SS0ABD11350,Cell-Cell Contact
HLA-C,KIR2DL3,Signaling by HLA,Ligand-Receptor,CPI-SS0917CBD53,Cell-Cell Contact
HLA-E,KLRC1,Signaling by HLA,Ligand-Receptor,CPI-SS03EF699C7,Cell-Cell Contact
HLA-E,KLRC1_KLRD1,Signaling by HLA,Ligand-Receptor,CPI-SC05A060D3B,Cell-Cell Contact
HLA-E,KLRC2,Signaling by HLA,Ligand-Receptor,CPI-SS0C4FA643F,Cell-Cell Contact
HLA-E,KLRC2_KLRD1,Signaling by HLA,Ligand-Receptor,CPI-SC066BD3097,Cell-Cell Contact
HLA-E,KLRC3_KLRD1,Signaling by HLA,Ligand-Receptor,CPI-SC04E52CC72,Cell-Cell Contact
HLA-E,KLRK1,Signaling by HLA,Ligand-Receptor,CPI-SS03339363E,Cell-Cell Contact
HLA-E,VSIR,,Ligand-Receptor,CPI-SS0F16EAEBB,Cell-Cell Contact
HLA-F,VSIR,,Ligand-Receptor,CPI-SS0436D5870,Cell-Cell Contact
HLA-F,KIR3DS1,Signaling by HLA,Ligand-Receptor,CPI-SS04293B7DA,Cell-Cell Contact
HLA-F,LILRB1,Signaling by HLA,Ligand-Receptor,CPI-SS00150FB64,Cell-Cell Contact
HLA-G,LILRB1,Signaling by HLA,Ligand-Receptor,CPI-SS05CE87F88,Cell-Cell Contact
HLA-F,LILRB2,Signaling by HLA,Ligand-Receptor,CPI-SS0A76A8E97,Cell-Cell Contact
HLA-G,LILRB2,Signaling by HLA,Ligand-Receptor,CPI-SS0DBA81CCF,Cell-Cell Contact
CD1D,LILRB2,,Ligand-Receptor,CPI-SS0EAB03260,Cell-Cell Contact
INHBA_INHBB,ACVR1C_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0021FE823,Secreted Signaling
INHA,ACVR1C_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-SC0E760DE88,Secreted Signaling
INHA_INHBA,ACVR1C_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0BDA1C176,Secreted Signaling
INHA_INHBB,ACVR1C_ACVR2A,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC08375F742,Secreted Signaling
INHBA_INHBB,ACVR1C_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC00485C63D,Secreted Signaling
INHA,ACVR1C_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-SC020B01F65,Secreted Signaling
INHA_INHBA,ACVR1C_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0C1E0C4B7,Secreted Signaling
INHA_INHBB,ACVR1C_ACVR2B,Signaling by Inhibin/Activin,Ligand-Receptor,CPI-CC0E62974F4,Secreted Signaling
INS,INSR,Signaling by Insulin-like precursor,Ligand-Receptor,CPI-SS05E4B1EBC,Secreted Signaling
INSL3,RXFP2,Signaling by Insulin-like precursor,Ligand-Receptor,CPI-SS06CF55F94,Secreted Signaling
RLN1,RXFP2,Signaling by Relaxin,Ligand-Receptor,CPI-SS0D3A5646A,Secreted Signaling
RLN2,RXFP2,Signaling by Relaxin,Ligand-Receptor,CPI-SS018FB4D9F,Secreted Signaling
RLN3,RXFP2,Signaling by Relaxin,Ligand-Receptor,CPI-SS02754C0EA,Secreted Signaling
INSL5,RXFP4,Signaling by Insulin-like precursor,Ligand-Receptor,CPI-SS063355A7A,Secreted Signaling
KNG1,RXFP4,Signaling by Kininogen,Ligand-Receptor,CPI-SS08EEE96C2,Secreted Signaling
RLN3,RXFP4,Signaling by Relaxin,Ligand-Receptor,CPI-SS0C1348C3F,Secreted Signaling
IGF1,GPC3_IGF1R,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SC033AB13AE,Secreted Signaling
IGF1,IGF1R,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS0E41702C1,Secreted Signaling
IGF2,IGF1R,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS0579FA162,Secreted Signaling
IGF1,ITGA6_ITGB4,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SC0322BA9B5,Secreted Signaling
NRG1,ITGA6_ITGB4,Signaling by Neuregulin,Ligand-Receptor,CPI-SC06CB2F292,Secreted Signaling
IGF2,IGF2R,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS042A6F835,Secreted Signaling
IGFBP3,TMEM219,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS099ACF7FB,Secreted Signaling
IGFL1,IGFLR1,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS00ABEE10B,Secreted Signaling
IGFL2,IGFLR1,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS08EDE5442,Secreted Signaling
IGFL3,IGFLR1,Signaling by Insulin-like growth factor,Ligand-Receptor,CPI-SS0327E1782,Secreted Signaling
IFNA1,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0B4C33BBC,Secreted Signaling
IFNA10,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0FD33E00A,Secreted Signaling
IFNA14,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0618F57A3,Secreted Signaling
IFNA16,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0E705491F,Secreted Signaling
IFNA17,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC006C626B1,Secreted Signaling
IFNA2,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC010EA0527,Secreted Signaling
IFNA21,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC08CA97CF7,Secreted Signaling
IFNA4,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0EF11E801,Secreted Signaling
IFNA5,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC08152E49A,Secreted Signaling
IFNA6,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0D85A6C82,Secreted Signaling
IFNA7,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0FFF2B86F,Secreted Signaling
IFNA8,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0E4586CC9,Secreted Signaling
IFNB1,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC02A19FC2F,Secreted Signaling
IFNE,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC06DAFCB1D,Secreted Signaling
IFNK,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0B0023C1C,Secreted Signaling
IFNW1,IFNAR1_IFNAR2,Signaling by Interferon,Ligand-Receptor,CPI-SC0C8750C37,Secreted Signaling
IFNG,IFNGR1_IFNGR2,Signaling by Interferon,Ligand-Receptor,CPI-SC02DEB4893,Secreted Signaling
IFNL1,IFNLR1_IL10RB,Signaling by Interferon,Ligand-Receptor,CPI-SC09F9339AD,Secreted Signaling
IFNL2,IFNLR1_IL10RB,Signaling by Interferon,Ligand-Receptor,CPI-SC00EEE0DC0,Secreted Signaling
IFNL3,IFNLR1_IL10RB,Signaling by Interferon,Ligand-Receptor,CPI-SC01610499E,Secreted Signaling
IFNL3,IFNLR1_IL10RB,Signaling by Interferon,Ligand-Receptor,CPI-SC04BFAF330,Secreted Signaling
EBI3_IL12A,IL12RB2_IL6ST,Signaling by Interleukin,Ligand-Receptor,CPI-CC0D8A77C69,Secreted Signaling
EBI3_IL27,IL27RA_IL6ST,Signaling by Interleukin,Ligand-Receptor,CPI-CC0B5110FC9,Secreted Signaling
IL10,IL10RA_IL10RB,Signaling by Interleukin,Ligand-Receptor,CPI-SC0104DF8E5,Secreted Signaling
IL11,IL11RA_IL6ST,Signaling by Interleukin,Ligand-Receptor,CPI-SC0409FF431,Secreted Signaling
IL12A_IL12B,IL12RB1_IL12RB2,Signaling by Interleukin,Ligand-Receptor,CPI-CC025CA2E0D,Secreted Signaling
IL12B_IL23A,IL12RB1_IL23R,Signaling by Interleukin,Ligand-Receptor,CPI-CC08EF3C145,Secreted Signaling
IL13,IL13RA1_IL4R,Signaling by Interleukin,Ligand-Receptor,CPI-SC0B433D463,Secreted Signaling
