ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
CEACAM5,CD8A,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS04B37190C,Cell-Cell Contact
CEACAM5,CEACAM1,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS0B537DD3F,Cell-Cell Contact
COL10A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Ligand-Receptor,CPI-SC04FA882F7,Cell-Cell Contact
COL11A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E53A238E,Cell-Cell Contact
COL11A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC071163509,Cell-Cell Contact
COL12A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E83A4B71,Cell-Cell Contact
COL13A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FCF853DB,Cell-Cell Contact
COL14A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0AB5FBF10,Cell-Cell Contact
COL15A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC027893337,Cell-Cell Contact
COL16A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC06AD39F88,Cell-Cell Contact
COL17A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C841033A,Cell-Cell Contact
COL18A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C739EDCE,Cell-Cell Contact
COL19A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC079D293A2,Cell-Cell Contact
COL1A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC08DBCCFF0,Cell-Cell Contact
COL1A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC09DB9D20A,Cell-Cell Contact
COL20A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0804EB2C0,Cell-Cell Contact
COL21A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC065DB6486,Cell-Cell Contact
COL22A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0713C9654,Cell-Cell Contact
COL24A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC073A7317A,Cell-Cell Contact
COL26A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC01E6BE079,Cell-Cell Contact
COL27A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC050F64BB5,Cell-Cell Contact
COL28A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC01C274A51,Cell-Cell Contact
COL2A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0EA8ABCFD,Cell-Cell Contact
COL3A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC00367777A,Cell-Cell Contact
COL4A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0744E13CB,Cell-Cell Contact
COL4A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC03F728659,Cell-Cell Contact
COL4A3,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0886D58EF,Cell-Cell Contact
COL4A4,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC04ABF0023,Cell-Cell Contact
COL4A5,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC042B580A3,Cell-Cell Contact
COL4A6,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C8B6ACF5,Cell-Cell Contact
COL5A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0592501EA,Cell-Cell Contact
COL5A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC037A0554C,Cell-Cell Contact
COL5A3,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC00EAD4C47,Cell-Cell Contact
COL6A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0549A759B,Cell-Cell Contact
COL6A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0F9FB6DCB,Cell-Cell Contact
COL6A3,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0ECDD1074,Cell-Cell Contact
COL6A5,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C6DC4D50,Cell-Cell Contact
COL6A6,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0D3870098,Cell-Cell Contact
COL7A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E509A5C6,Cell-Cell Contact
COL8A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC03760D980,Cell-Cell Contact
COL8A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0453131F6,Cell-Cell Contact
COL9A1,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC070BECDC9,Cell-Cell Contact
COL9A2,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0270AA5D9,Cell-Cell Contact
COL9A3,ITGA1_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0DC74CBE5,Cell-Cell Contact
SEMA7A,ITGA1_ITGB1,Signaling by Semaphorin,Ligand-Receptor,CPI-SC03AF43F8B,Cell-Cell Contact
COL10A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B4F620A6,Cell-Cell Contact
COL11A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B991F6B1,Cell-Cell Contact
COL11A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC034D4CF73,Cell-Cell Contact
