==============================================================================
ALARMIST  seed=53  K=20  patch=50.0um  ->  results/GBM_s53_legacy
  stages : bptf
  figures: none   data-file: data/xenium_mm_final_cell_id.h5ad
==============================================================================
timestamp_utc = 2026-07-28T22:53:46Z
stages = bptf
seed = 53   n_components = 20   patch_size = 50.0   max_iter = 1000
data_file = data/xenium_mm_final_cell_id.h5ad
output_dir = results/GBM_s53_legacy
patchify = results/GBM_s53_legacy/patchify (built here)
cell_type_column = cell_type   resource = cellchatdb   cellchatdb = /private/tmp/claude-501/-Users-jiayifan-tansey-lab-alarmist/c9bb7632-3fa0-4091-a310-d98997fd8568/scratchpad/CellChatDBv2.0.human.legacy_effective.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-28T22:53:46Z  [bptf] in-process  K=20  max_iter=1000  seed=53  cellchatdb=/private/tmp/claude-501/-Users-jiayifan-tansey-lab-alarmist/c9bb7632-3fa0-4091-a310-d98997fd8568/scratchpad/CellChatDBv2.0.human.legacy_effective.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -6748902797.49	Change: nan	
  7%|7         | 72/1000 [01:06<14:12,  1.09it/s]ITERATION 73:	Time: 0.918785	Objective: -794462.85	Change: 4.35671e-04	
  7%|7         | 73/1000 [01:07<14:11,  1.09it/s]ITERATION 74:	Time: 0.922832	Objective: -794153.99	Change: 3.88763e-04	
  7%|7         | 74/1000 [01:08<14:11,  1.09it/s]ITERATION 75:	Time: 0.919477	Objective: -793860.75	Change: 3.69253e-04	
  8%|7         | 75/1000 [01:09<14:10,  1.09it/s]ITERATION 76:	Time: 0.964629	Objective: -793578.14	Change: 3.55997e-04	
  8%|7         | 76/1000 [01:10<14:22,  1.07it/s]ITERATION 77:	Time: 0.967174	Objective: -793351.27	Change: 2.85876e-04	
  8%|7         | 77/1000 [01:11<14:30,  1.06it/s]ITERATION 78:	Time: 0.952924	Objective: -793140.22	Change: 2.66028e-04	
  8%|7         | 78/1000 [01:12<14:32,  1.06it/s]ITERATION 79:	Time: 0.950020	Objective: -792949.60	Change: 2.40335e-04	
  8%|7         | 79/1000 [01:12<14:32,  1.06it/s]ITERATION 80:	Time: 0.948676	Objective: -792784.01	Change: 2.08833e-04	
  8%|8         | 80/1000 [01:13<14:32,  1.05it/s]ITERATION 81:	Time: 0.979556	Objective: -792636.19	Change: 1.86450e-04	
  8%|8         | 81/1000 [01:14<14:39,  1.04it/s]ITERATION 82:	Time: 0.925472	Objective: -792472.84	Change: 2.06087e-04	
  8%|8         | 82/1000 [01:15<14:30,  1.05it/s]ITERATION 83:	Time: 0.926801	Objective: -792299.81	Change: 2.18343e-04	
  8%|8         | 83/1000 [01:16<14:23,  1.06it/s]ITERATION 84:	Time: 0.933117	Objective: -792153.28	Change: 1.84935e-04	
  8%|8         | 84/1000 [01:17<14:20,  1.06it/s]ITERATION 85:	Time: 0.920880	Objective: -792014.19	Change: 1.75586e-04	
  8%|8         | 85/1000 [01:18<14:14,  1.07it/s]/Users/jiayifan/anaconda3/envs/bptf/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
