==============================================================================
ALARMIST  seed=53  K=20  patch=50.0um  ->  results/GBM_s53_new
  stages : bptf
  figures: none   data-file: data/xenium_mm_final_cell_id.h5ad
==============================================================================
timestamp_utc = 2026-07-28T22:55:11Z
stages = bptf
seed = 53   n_components = 20   patch_size = 50.0   max_iter = 1000
data_file = data/xenium_mm_final_cell_id.h5ad
output_dir = results/GBM_s53_new
patchify = results/GBM_s53_new/patchify (built here)
cell_type_column = cell_type   resource = cellchatdb   cellchatdb = data/LRdatabase/CellChatDBv2.0.human.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-28T22:55:11Z  [bptf] in-process  K=20  max_iter=1000  seed=53  cellchatdb=data/LRdatabase/CellChatDBv2.0.human.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -8051575174.16	Change: nan	
  5%|4         | 46/1000 [00:46<16:43,  1.05s/it]ITERATION 47:	Time: 1.062968	Objective: -1106978.34	Change: 8.92589e-04	
  5%|4         | 47/1000 [00:47<16:45,  1.05s/it]ITERATION 48:	Time: 1.076401	Objective: -1105999.11	Change: 8.84599e-04	
  5%|4         | 48/1000 [00:49<16:50,  1.06s/it]ITERATION 49:	Time: 1.044420	Objective: -1105090.96	Change: 8.21108e-04	
  5%|4         | 49/1000 [00:50<16:44,  1.06s/it]ITERATION 50:	Time: 1.020555	Objective: -1104251.69	Change: 7.59456e-04	
  5%|5         | 50/1000 [00:51<16:33,  1.05s/it]ITERATION 51:	Time: 1.015240	Objective: -1103502.63	Change: 6.78345e-04	
  5%|5         | 51/1000 [00:52<16:23,  1.04s/it]ITERATION 52:	Time: 1.020758	Objective: -1102788.99	Change: 6.46704e-04	
  5%|5         | 52/1000 [00:53<16:18,  1.03s/it]ITERATION 53:	Time: 1.027369	Objective: -1102096.77	Change: 6.27702e-04	
  5%|5         | 53/1000 [00:54<16:15,  1.03s/it]ITERATION 54:	Time: 1.020795	Objective: -1101463.10	Change: 5.74964e-04	
  5%|5         | 54/1000 [00:55<16:12,  1.03s/it]ITERATION 55:	Time: 1.057248	Objective: -1100931.73	Change: 4.82422e-04	
  6%|5         | 55/1000 [00:56<16:19,  1.04s/it]ITERATION 56:	Time: 1.032247	Objective: -1100382.40	Change: 4.98974e-04	
  6%|5         | 56/1000 [00:57<16:17,  1.04s/it]ITERATION 57:	Time: 1.026529	Objective: -1099828.97	Change: 5.02944e-04	
